           rhox         t           p          xne        xnatom        rho
    1   2.283E+03   1.000E+05   3.181E-01   1.204E+10   1.099E+10   2.371E-14
    2   2.281E+03   9.560E+04   3.178E-01   1.258E+10   1.149E+10   2.478E-14
    3   2.280E+03   9.082E+04   3.180E-01   1.325E+10   1.210E+10   2.610E-14
    4   2.279E+03   8.389E+04   3.178E-01   1.433E+10   1.309E+10   2.824E-14
    5   2.277E+03   7.593E+04   3.176E-01   1.583E+10   1.445E+10   3.118E-14
    6   2.276E+03   7.134E+04   3.175E-01   1.684E+10   1.538E+10   3.318E-14
    7   2.275E+03   6.615E+04   3.173E-01   1.815E+10   1.657E+10   3.575E-14
    8   2.274E+03   6.017E+04   3.167E-01   1.991E+10   1.818E+10   3.923E-14
    9   2.274E+03   5.328E+04   3.156E-01   2.241E+10   2.046E+10   4.415E-14
   10   2.273E+03   4.939E+04   3.146E-01   2.410E+10   2.201E+10   4.749E-14
   11   2.273E+03   4.542E+04   3.133E-01   2.609E+10   2.384E+10   5.143E-14
   12   2.272E+03   4.118E+04   3.117E-01   2.862E+10   2.616E+10   5.644E-14
   13   2.272E+03   3.659E+04   3.095E-01   3.198E+10   2.924E+10   6.308E-14
   14   2.272E+03   3.215E+04   3.072E-01   3.612E+10   3.304E+10   7.128E-14
   15   2.272E+03   2.797E+04   3.045E-01   4.112E+10   3.769E+10   8.132E-14
   16   2.271E+03   2.406E+04   3.012E-01   4.625E+10   4.437E+10   9.573E-14
   17   2.271E+03   2.042E+04   2.976E-01   5.282E+10   5.266E+10   1.136E-13
   18   2.271E+03   1.793E+04   2.948E-01   5.958E+10   5.944E+10   1.282E-13
   19   2.270E+03   1.628E+04   2.927E-01   6.512E+10   6.499E+10   1.402E-13
   20   2.270E+03   1.452E+04   2.901E-01   7.235E+10   7.225E+10   1.559E-13
   21   2.270E+03   1.308E+04   2.880E-01   7.969E+10   7.971E+10   1.720E-13
   22   2.270E+03   1.219E+04   2.866E-01   8.479E+10   8.536E+10   1.842E-13
   23   2.269E+03   1.144E+04   2.832E-01   8.828E+10   9.091E+10   1.962E-13
   24   2.269E+03   1.085E+04   2.798E-01   9.044E+10   9.623E+10   2.076E-13
   25   2.268E+03   1.034E+04   2.791E-01   9.366E+10   1.017E+11   2.195E-13
   26   2.268E+03   9.983E+03   2.819E-01   9.764E+10   1.067E+11   2.303E-13
   27   2.267E+03   9.735E+03   2.862E-01   1.015E+11   1.112E+11   2.400E-13
   28   2.266E+03   9.587E+03   2.896E-01   1.043E+11   1.143E+11   2.467E-13
   29   2.264E+03   9.458E+03   2.968E-01   1.083E+11   1.188E+11   2.564E-13
   30   2.257E+03   9.358E+03   3.052E-01   1.126E+11   1.235E+11   2.665E-13
   31   2.243E+03   9.228E+03   3.138E-01   1.173E+11   1.288E+11   2.780E-13
   32   2.211E+03   8.988E+03   3.367E-01   1.291E+11   1.420E+11   3.064E-13
   33   2.163E+03   8.635E+03   3.774E-01   1.503E+11   1.660E+11   3.582E-13
   34   2.109E+03   8.273E+03   4.368E-01   1.804E+11   2.017E+11   4.352E-13
   35   2.053E+03   7.970E+03   5.116E-01   2.159E+11   2.487E+11   5.365E-13
   36   2.004E+03   7.780E+03   5.881E-01   2.484E+11   2.987E+11   6.445E-13
   37   1.942E+03   7.600E+03   7.023E-01   2.904E+11   3.785E+11   8.166E-13
   38   1.862E+03   7.410E+03   8.841E-01   3.418E+11   5.217E+11   1.126E-12
   39   1.768E+03   7.220E+03   1.167E+00   3.912E+11   7.789E+11   1.681E-12
   40   1.682E+03   7.080E+03   1.546E+00   4.315E+11   1.148E+12   2.477E-12
   41   1.577E+03   6.910E+03   2.261E+00   4.635E+11   1.904E+12   4.108E-12
   42   1.470E+03   6.740E+03   3.561E+00   4.840E+11   3.338E+12   7.201E-12
   43   1.375E+03   6.570E+03   5.654E+00   4.789E+11   5.746E+12   1.240E-11
   44   1.275E+03   6.370E+03   9.832E+00   4.501E+11   1.071E+13   2.312E-11
   45   1.180E+03   6.180E+03   1.775E+01   4.211E+11   2.035E+13   4.391E-11
   46   1.085E+03   5.950E+03   3.332E+01   3.564E+11   4.015E+13   8.662E-11
   47   1.015E+03   5.760E+03   5.398E+01   2.957E+11   6.749E+13   1.456E-10
   48   9.550E+02   5.570E+03   8.292E+01   2.333E+11   1.075E+14   2.318E-10
   49   9.050E+02   5.380E+03   1.208E+02   1.761E+11   1.623E+14   3.501E-10
   50   8.550E+02   5.160E+03   1.793E+02   1.243E+11   2.512E+14   5.419E-10
   51   8.050E+02   4.900E+03   2.717E+02   8.749E+10   4.010E+14   8.651E-10
   52   7.500E+02   4.680E+03   4.405E+02   9.197E+10   6.807E+14   1.469E-09
   53   7.000E+02   4.560E+03   6.951E+02   1.290E+11   1.103E+15   2.379E-09
   54   6.600E+02   4.520E+03   1.009E+03   1.790E+11   1.614E+15   3.482E-09
   55   6.250E+02   4.500E+03   1.400E+03   2.394E+11   2.251E+15   4.857E-09
   56   5.900E+02   4.510E+03   1.945E+03   3.222E+11   3.119E+15   6.730E-09
   57   5.500E+02   4.540E+03   2.825E+03   4.536E+11   4.502E+15   9.713E-09
   58   5.000E+02   4.610E+03   4.484E+03   7.008E+11   7.038E+15   1.518E-08
   59   4.500E+02   4.690E+03   7.065E+03   1.079E+12   1.090E+16   2.352E-08
   60   4.000E+02   4.780E+03   1.103E+04   1.654E+12   1.669E+16   3.602E-08
   61   3.500E+02   4.880E+03   1.704E+04   2.523E+12   2.527E+16   5.452E-08
   62   3.000E+02   4.990E+03   2.602E+04   3.827E+12   3.773E+16   8.141E-08
   63   2.750E+02   5.060E+03   3.202E+04   4.736E+12   4.580E+16   9.881E-08
   64   2.500E+02   5.150E+03   3.918E+04   5.903E+12   5.506E+16   1.188E-07
   65   2.250E+02   5.270E+03   4.774E+04   7.495E+12   6.556E+16   1.414E-07
   66   2.000E+02   5.410E+03   5.779E+04   9.712E+12   7.729E+16   1.668E-07
   67   1.750E+02   5.580E+03   6.954E+04   1.317E+13   9.017E+16   1.945E-07
   68   1.500E+02   5.790E+03   8.299E+04   1.937E+13   1.037E+17   2.237E-07
   69   1.350E+02   5.980E+03   9.200E+04   2.742E+13   1.113E+17   2.401E-07
   70   1.200E+02   6.180E+03   1.016E+05   4.024E+13   1.189E+17   2.565E-07
   71   1.100E+02   6.340E+03   1.083E+05   5.460E+13   1.236E+17   2.666E-07
   72   1.000E+02   6.520E+03   1.153E+05   7.654E+13   1.278E+17   2.758E-07
   73   9.000E+01   6.720E+03   1.227E+05   1.103E+14   1.319E+17   2.847E-07
   74   8.000E+01   6.980E+03   1.301E+05   1.726E+14   1.346E+17   2.905E-07
   75   7.000E+01   7.280E+03   1.378E+05   2.804E+14   1.366E+17   2.948E-07
   76   6.000E+01   7.590E+03   1.454E+05   4.474E+14   1.381E+17   2.980E-07
   77   5.000E+01   7.900E+03   1.532E+05   6.917E+14   1.396E+17   3.012E-07
   78   4.000E+01   8.220E+03   1.611E+05   1.050E+15   1.407E+17   3.036E-07
   79   3.000E+01   8.540E+03   1.690E+05   1.546E+15   1.416E+17   3.055E-07
   80   2.000E+01   8.860E+03   1.772E+05   2.217E+15   1.425E+17   3.074E-07
   81   1.000E+01   9.140E+03   1.856E+05   2.985E+15   1.439E+17   3.104E-07
   82   0.000E+00   9.400E+03   1.939E+05   3.878E+15   1.454E+17   3.136E-07
